,id,subject_class,subject_id,object_class,object_id,context_class,context_id,created_at,description,action_template_id,value,is_hidden,ext_data,action
26,667985,Event,48473,User,157.0,Event,48473.0,1632201378,"Создана новая задача - Встреча КФХ Пивоваров В.Г. (Петропавловский район) презентация самоходной техники. Ответственный: Khabatilin, Denis. Автор: Kolgan, Mikhail. Клиент: <rb-link object=""Company"" text=""КФХ Пивоваров В.Г. (Петропавловский район)"" params=""{&quot;id&quot;:3755}""></rb-link>. Завершить не позднее: 21.09.2021.",24,,False,,Создана новая задача
29,667982,Company,4103,User,157.0,Event,48472.0,1632201341,"Kolgan, Mikhail установил компанию <rb-link object=""Company"" text=""КФХ Маслов С.В. (Петропавловский район)"" params=""{&quot;id&quot;:4103}""></rb-link> на задачу - Встреча КФХ Маслов С.В. (Петропавловский район) презентация самоходной техники.",54,,False,,установил компанию
30,667981,Event,48472,User,157.0,Deal,3754.0,1632201341,"Kolgan, Mikhail создал событие календаря, по сделке <rb-link object=""Deal"" text=""3754.Сделка с клиентом КФХ Маслов С.В. ProDisk500"" params=""{&quot;id&quot;:3754,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>, задача: Встреча КФХ Маслов С.В. (Петропавловский район) презентация самоходной техники.",27,,False,,создал событие календаря
31,667980,Event,48472,User,157.0,Company,4103.0,1632201341,"Kolgan, Mikhail создал событие календаря задача: Встреча КФХ Маслов С.В. (Петропавловский район) презентация самоходной техники.",26,,False,,создал событие календаря
32,667979,Event,48472,User,157.0,Event,48472.0,1632201341,"Создана новая задача - Встреча КФХ Маслов С.В. (Петропавловский район) презентация самоходной техники. Ответственный: Khabatilin, Denis. Автор: Kolgan, Mikhail. Клиент: <rb-link object=""Company"" text=""КФХ Маслов С.В. (Петропавловский район)"" params=""{&quot;id&quot;:4103}""></rb-link>. Завершить не позднее: 21.09.2021.",24,,False,,Создана новая задача
33,667978,Company,2462,User,157.0,Event,48471.0,1632201307,"Kolgan, Mikhail установил компанию <rb-link object=""Company"" text=""ООО Березняговское (Петропавловский район)"" params=""{&quot;id&quot;:2462}""></rb-link> на задачу - Встреча ООО Березняговское (Петропавловский район) презентация почвообробатывающих орудий.",54,,False,,установил компанию
34,667977,Event,48471,User,157.0,Company,2462.0,1632201307,"Kolgan, Mikhail создал событие календаря задача: Встреча ООО Березняговское (Петропавловский район) презентация почвообробатывающих орудий.",26,,False,,создал событие календаря
35,667976,Event,48471,User,157.0,Event,48471.0,1632201307,"Создана новая задача - Встреча ООО Березняговское (Петропавловский район) презентация почвообробатывающих орудий. Ответственный: Khabatilin, Denis. Автор: Kolgan, Mikhail. Клиент: <rb-link object=""Company"" text=""ООО Березняговское (Петропавловский район)"" params=""{&quot;id&quot;:2462}""></rb-link>. Завершить не позднее: 21.09.2021.",24,,False,,Создана новая задача
37,667974,Company,2464,User,157.0,Event,48470.0,1632201269,"Kolgan, Mikhail установил компанию <rb-link object=""Company"" text=""ООО Заря (Петропавловский район)"" params=""{&quot;id&quot;:2464}""></rb-link> на задачу - Встреча ООО Заря (Петропавловский район) презентация почвообробатывающих орудий.",54,,False,,установил компанию
38,667973,Event,48470,User,157.0,Company,2464.0,1632201269,"Kolgan, Mikhail создал событие календаря задача: Встреча ООО Заря (Петропавловский район) презентация почвообробатывающих орудий.",26,,False,,создал событие календаря
39,667972,Event,48470,User,157.0,Event,48470.0,1632201268,"Создана новая задача - Встреча ООО Заря (Петропавловский район) презентация почвообробатывающих орудий. Ответственный: Khabatilin, Denis. Автор: Kolgan, Mikhail. Клиент: <rb-link object=""Company"" text=""ООО Заря (Петропавловский район)"" params=""{&quot;id&quot;:2464}""></rb-link>. Завершить не позднее: 21.09.2021.",24,,False,,Создана новая задача
42,667969,Company,2469,User,157.0,Event,48469.0,1632201229,"Kolgan, Mikhail установил компанию <rb-link object=""Company"" text=""ООО Ритм (Петропавловский район)"" params=""{&quot;id&quot;:2469}""></rb-link> на задачу - Встреча ООО Ритм (Петропавловский район) переговоры по сделке.",54,,False,,установил компанию
43,667968,Event,48469,User,157.0,Deal,5639.0,1632201229,"Kolgan, Mikhail создал событие календаря, по сделке <rb-link object=""Deal"" text=""5639.Сделка с клиентом ООО Ритм (Петропавловский район) РУКАС 150"" params=""{&quot;id&quot;:5639,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>, задача: Встреча ООО Ритм (Петропавловский район) переговоры по сделке.",27,,False,,создал событие календаря
44,667967,Event,48469,User,157.0,Company,2469.0,1632201229,"Kolgan, Mikhail создал событие календаря задача: Встреча ООО Ритм (Петропавловский район) переговоры по сделке.",26,,False,,создал событие календаря
45,667966,Event,48469,User,157.0,Event,48469.0,1632201229,"Создана новая задача - Встреча ООО Ритм (Петропавловский район) переговоры по сделке. Ответственный: Khabatilin, Denis. Автор: Kolgan, Mikhail. Клиент: <rb-link object=""Company"" text=""ООО Ритм (Петропавловский район)"" params=""{&quot;id&quot;:2469}""></rb-link>. Завершить не позднее: 21.09.2021.",24,,False,,Создана новая задача
46,667965,Company,2472,User,157.0,Event,48468.0,1632201206,"Kolgan, Mikhail установил компанию <rb-link object=""Company"" text=""СХА Луч (Петропавловский район)"" params=""{&quot;id&quot;:2472}""></rb-link> на задачу - Встреча СХА Луч (Петропавловский район) переговоры по сделке.",54,,False,,установил компанию
47,667964,Event,48468,User,157.0,Deal,5289.0,1632201206,"Kolgan, Mikhail создал событие календаря, по сделке <rb-link object=""Deal"" text=""5289.Сделка с клиентом СХА Луч (Петропавловский район)"" params=""{&quot;id&quot;:5289,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>, задача: Встреча СХА Луч (Петропавловский район) переговоры по сделке.",27,,False,,создал событие календаря
48,667963,Event,48468,User,157.0,Company,2472.0,1632201206,"Kolgan, Mikhail создал событие календаря задача: Встреча СХА Луч (Петропавловский район) переговоры по сделке.",26,,False,,создал событие календаря
49,667962,Event,48468,User,157.0,Event,48468.0,1632201206,"Создана новая задача - Встреча СХА Луч (Петропавловский район) переговоры по сделке. Ответственный: Khabatilin, Denis. Автор: Kolgan, Mikhail. Клиент: <rb-link object=""Company"" text=""СХА Луч (Петропавловский район)"" params=""{&quot;id&quot;:2472}""></rb-link>. Завершить не позднее: 21.09.2021.",24,,False,,Создана новая задача
51,667960,Deal,2826,User,148.0,Deal,2826.0,1632197928,"Gridin, Sergey, Менеджер по продажам отдела продаж техники, изменил значение в поле ""Дата контрактации"" в сделке №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Новое значение: 20.10.2021.",85,,False,,
52,667959,Deal,2826,User,148.0,Deal,2826.0,1632197913,"Gridin, Sergey изменил этап сделки №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Новый этап: 3. Переговоры. Клиент: <rb-link object=""Company"" text=""СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:4027}""></rb-link>.",14,,False,,
53,667958,DealActualStagePoint,101111,User,148.0,Deal,2826.0,1632197911,"Gridin, Sergey, Менеджер по продажам отдела продаж техники, выбрал пункт чек-листа Презентация выгод работы с нашей компанией в сделке №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
54,667957,DealActualStagePoint,101112,User,148.0,Deal,2826.0,1632197909,"Gridin, Sergey, Менеджер по продажам отдела продаж техники, выбрал пункт чек-листа Индивидуальная презентация клиенту согласно его целям и потребностям с учетом преимуществ перед конкурентами: тех. блок, экономический, сервисный в сделке №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
55,667956,DealActualStagePoint,101109,User,148.0,Deal,2826.0,1632197905,"Gridin, Sergey, Менеджер по продажам отдела продаж техники, выбрал пункт чек-листа Изучение критериев, предъявляемых клиентом к поставщику. Анализ наших позиций и возможностей с этой точки зрения в сделке №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
56,667955,DealActualStagePoint,101108,User,148.0,Deal,2826.0,1632197903,"Gridin, Sergey, Менеджер по продажам отдела продаж техники, выбрал пункт чек-листа Выявление потребностей клиента по пирамиде Маслоу. Какие аспекты важны: Надежность, Безопасность, Признание бренда, Инновационность и др. в сделке №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
57,667954,DealActualStagePoint,101107,User,148.0,Deal,2826.0,1632197903,"Gridin, Sergey, Менеджер по продажам отдела продаж техники, выбрал пункт чек-листа Выявление цели клиента в сделке №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
58,667953,Deal,2826,User,148.0,Deal,2826.0,1632197899,"Gridin, Sergey изменил этап сделки №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Новый этап: 2. Презентационная работа. Клиент: <rb-link object=""Company"" text=""СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:4027}""></rb-link>.",14,,False,,
59,667952,DealActualStagePoint,101106,User,148.0,Deal,2826.0,1632197898,"Gridin, Sergey, Менеджер по продажам отдела продаж техники, выбрал пункт чек-листа Внесение в карточку сделки конкретной техники (одна единица и более), которая планируется к продаже данному клиенту в сделке №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
60,667951,DealActualStagePoint,101105,User,148.0,Deal,2826.0,1632197897,"Gridin, Sergey, Менеджер по продажам отдела продаж техники, выбрал пункт чек-листа Определение потребности в технике (ближайшей и отсроченной) в сделке №2826 - <rb-link object=""Deal"" text=""2826.Сделка с клиентом СПК &quot;Тойда Агро&quot;"" params=""{&quot;id&quot;:2826,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
77,667934,DealActualStagePoint,231172,User,68.0,Deal,5903.0,1632161811,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 6. Внесение клиентом задатка в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
78,667933,DealActualStagePoint,231170,User,68.0,Deal,5903.0,1632161808,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5. Согласование и подписание соглашения о задатке в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
79,667932,DealActualStagePoint,231168,User,68.0,Deal,5903.0,1632161805,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 3. Отправка заявки на договор менеджеру проектов в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
80,667931,DealActualStagePoint,231167,User,68.0,Deal,5903.0,1632161805,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 2. Согласование сроков и этапов подписания договора с клиентом в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
81,667930,DealActualStagePoint,231166,User,68.0,Deal,5903.0,1632161802,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 1. Получение и проверка реквизитов покупателя в RB в разделе Контрагенты в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
82,667929,Deal,5903,User,68.0,Deal,5903.0,1632161795,"Dolmatov, Evgeny изменил этап сделки №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Новый этап: 4. Договорная работа. Клиент: <rb-link object=""Company"" text=""Катенев Д.Н"" params=""{&quot;id&quot;:5203}""></rb-link>.",14,,False,,
83,667928,DealActualStagePoint,231165,User,68.0,Deal,5903.0,1632161793,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 7. Запрос клиентом договора на рассмотрение в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
84,667927,DealActualStagePoint,231164,User,68.0,Deal,5903.0,1632161773,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 6. Подведение итогов этапа – резюме согласованных условий, которые будут основой договора в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
85,667926,DealActualStagePoint,231163,User,68.0,Deal,5903.0,1632161769,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5. Утверждение с клиентом точных сроков поставки и реализации в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
86,667925,DealActualStagePoint,231162,User,68.0,Deal,5903.0,1632161766,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 4. Согласование с клиентом финансовой схемы и сроков оплаты в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
87,667924,DealActualStagePoint,231161,User,68.0,Deal,5903.0,1632161765,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 3. Согласование с клиентом окончательной цены и скидок в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
88,667923,DealActualStagePoint,231160,User,68.0,Deal,5903.0,1632161760,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 2. Согласование с клиентом окончательной спецификации и количества в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
89,667922,DealActualStagePoint,231159,User,68.0,Deal,5903.0,1632161760,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 1. Работа с возражениями клиента в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
90,667921,Deal,5903,User,68.0,Deal,5903.0,1632161755,"Dolmatov, Evgeny изменил этап сделки №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Новый этап: 3. Переговоры. Клиент: <rb-link object=""Company"" text=""Катенев Д.Н"" params=""{&quot;id&quot;:5203}""></rb-link>.",14,,False,,
91,667920,DealActualStagePoint,231158,User,68.0,Deal,5903.0,1632161754,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 7. ИТОГ: клиент готов обсуждать конкретные условия сделки в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
92,667919,DealActualStagePoint,231157,User,68.0,Deal,5903.0,1632161752,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 6. ИТОГ: клиент точно определился с моделью техники (возможно наша и/или техника конкурентов) в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
93,667918,DealActualStagePoint,231156,User,68.0,Deal,5903.0,1632161751,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5. ИТОГ: у клиента сформировано четкое намерение законтрактоваться в ближайшие 3 месяца в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
94,667917,DealActualStagePoint,231155,User,68.0,Deal,5903.0,1632161750,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 4. Запрос КП клиентом в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
95,667916,DealActualStagePoint,231154,User,68.0,Deal,5903.0,1632161747,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 3. Предоставление отзывов других клиентов (публикации, устно или совместное посещение) в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
96,667915,DealActualStagePoint,231152,User,68.0,Deal,5903.0,1632161745,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 1. Презентация преимуществ работы с нашей компанией. Презентация нашей техники (каталоги, видео, любые другие демонстрационные материалы) в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
97,667914,Deal,5903,User,68.0,Deal,5903.0,1632161738,"Dolmatov, Evgeny изменил этап сделки №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Новый этап: 2. Презентационная работа. Клиент: <rb-link object=""Company"" text=""Катенев Д.Н"" params=""{&quot;id&quot;:5203}""></rb-link>.",14,,False,,
98,667913,DealActualStagePoint,231151,User,68.0,Deal,5903.0,1632161735,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 6. Клиент планирует контрактацию (не покупку!) в ближайшие 6 месяцев в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
99,667912,DealActualStagePoint,231150,User,68.0,Deal,5903.0,1632161735,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5.5. Имеет ли клиент представление именно о нашей технике в рамках конкретной потребности в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
100,667911,DealActualStagePoint,231149,User,68.0,Deal,5903.0,1632161734,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5.4. Какие бренды/модели рассматривает клиент по данной потребности в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
101,667910,DealActualStagePoint,231148,User,68.0,Deal,5903.0,1632161732,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5.3. Собственные возможности по приобретению (задаток, предоплата, открытие кредиты и лизинги) в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
102,667909,DealActualStagePoint,231147,User,68.0,Deal,5903.0,1632161730,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5.2. Когда техника нужна в хозяйстве в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
103,667908,DealActualStagePoint,231146,User,68.0,Deal,5903.0,1632161729,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5.1. Для каких конкретно задач нужна техника в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
104,667907,DealActualStagePoint,231145,User,68.0,Deal,5903.0,1632161727,"Dolmatov, Evgeny, Менеджер по продажам техники, выбрал пункт чек-листа 5. Выявление детальной информации (занести ответы на вопросы пп 5.1-5.5 в раздел «Коммуникация») в сделке №5903 - <rb-link object=""Deal"" text=""5903.Сделка с клиентом Катенев Д.Н"" params=""{&quot;id&quot;:5903,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17,,False,,
