код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
1-0198,ЧАС ТО720-Т12160-КР8640,Техническое обслуживание,ТО,1-0198ТО,"720,00",ЧАС,1-0198ТО
1-0198,ЧАС ТО720-Т12160-КР8640,Текущий ремонт 1,Т1,1-0198Т1,"2160,00",ЧАС,1-0198Т1
1-0198,ЧАС ТО720-Т12160-КР8640,Капитальный ремонт,КР,1-0198КР,"8640,00",ЧАС,1-0198КР
1-0199,ЧАС ТО720-Т12160-Т27920,Техническое обслуживание,ТО,1-0199ТО,"720,00",ЧАС,1-0199ТО
1-0199,ЧАС ТО720-Т12160-Т27920,Текущий ремонт 1,Т1,1-0199Т1,"2160,00",ЧАС,1-0199Т1
1-0199,ЧАС ТО720-Т12160-Т27920,Текущий ремонт 2,Т2,1-0199Т2,"7920,00",ЧАС,1-0199Т2
1-0200,ЧАС ТО240-ТР720-КР8640,Техническое обслуживание,ТО,1-0200ТО,"240,00",ЧАС,1-0200ТО
1-0200,ЧАС ТО240-ТР720-КР8640,Текущий ремонт,ТР,1-0200ТР,"720,00",ЧАС,1-0200ТР
1-0200,ЧАС ТО240-ТР720-КР8640,Капитальный ремонт,КР,1-0200КР,"8640,00",ЧАС,1-0200КР
1-0201,ЧАС ТО720-ТР2160-КР4320,Техническое обслуживание,ТО,1-0201ТО,"720,00",ЧАС,1-0201ТО
1-0201,ЧАС ТО720-ТР2160-КР4320,Текущий ремонт,ТР,1-0201ТР,"2160,00",ЧАС,1-0201ТР
1-0201,ЧАС ТО720-ТР2160-КР4320,Капитальный ремонт,КР,1-0201КР,"4320,00",ЧАС,1-0201КР
1-0202,ЧАС ТО240-ТР2160-КР8640,Техническое обслуживание,ТО,1-0202ТО,"240,00",ЧАС,1-0202ТО
1-0202,ЧАС ТО240-ТР2160-КР8640,Текущий ремонт,ТР,1-0202ТР,"2160,00",ЧАС,1-0202ТР
1-0202,ЧАС ТО240-ТР2160-КР8640,Капитальный ремонт,КР,1-0202КР,"8640,00",ЧАС,1-0202КР
1-0203,ЧАС ТО360-ТР4320-КР17280,Техническое обслуживание,ТО,1-0203ТО,"360,00",ЧАС,1-0203ТО
1-0203,ЧАС ТО360-ТР4320-КР17280,Текущий ремонт,ТР,1-0203ТР,"4320,00",ЧАС,1-0203ТР
1-0203,ЧАС ТО360-ТР4320-КР17280,Капитальный ремонт,КР,1-0203КР,"17280,00",ЧАС,1-0203КР
1-0204,ЧАС ТО720-Т12160-4320-КР17280,Техническое обслуживание,ТО,1-0204ТО,"720,00",ЧАС,1-0204ТО
1-0204,ЧАС ТО720-Т12160-4320-КР17280,Текущий ремонт 1,Т1,1-0204Т1,"2160,00",ЧАС,1-0204Т1
1-0204,ЧАС ТО720-Т12160-4320-КР17280,Текущий ремонт 2,Т2,1-0204Т2,"4320,00",ЧАС,1-0204Т2
1-0204,ЧАС ТО720-Т12160-4320-КР17280,Капитальный ремонт,КР,1-0204КР,"17280,00",ЧАС,1-0204КР
1-0205,ЧАС ТО360-Т12160-4320-КР17280,Техническое обслуживание,ТО,1-0205ТО,"360,00",ЧАС,1-0205ТО
1-0205,ЧАС ТО360-Т12160-4320-КР17280,Текущий ремонт 1,Т1,1-0205Т1,"2160,00",ЧАС,1-0205Т1
1-0205,ЧАС ТО360-Т12160-4320-КР17280,Текущий ремонт 2,Т2,1-0205Т2,"4320,00",ЧАС,1-0205Т2
1-0205,ЧАС ТО360-Т12160-4320-КР17280,Капитальный ремонт,КР,1-0205КР,"17280,00",ЧАС,1-0205КР
1-0206,ЧАС ТО360-ТР2160-КР4320,Техническое обслуживание,ТО,1-0206ТО,"360,00",ЧАС,1-0206ТО
1-0206,ЧАС ТО360-ТР2160-КР4320,Текущий ремонт,ТР,1-0206ТР,"2160,00",ЧАС,1-0206ТР
1-0206,ЧАС ТО360-ТР2160-КР4320,Капитальный ремонт,КР,1-0206КР,"4320,00",ЧАС,1-0206КР
1-0207,ЧАС ТО720-ТР8640-КР172800,Техническое обслуживание,ТО,1-0207ТО,"720,00",ЧАС,1-0207ТО
1-0207,ЧАС ТО720-ТР8640-КР172800,Текущий ремонт,ТР,1-0207ТР,"8640,00",ЧАС,1-0207ТР
1-0207,ЧАС ТО720-ТР8640-КР172800,Капитальный ремонт,КР,1-0207КР,"172800,00",ЧАС,1-0207КР
1-0208,ЧАС О1360-О2720-ТР2880-КР8640,Техническое обслуживание 1,О1,1-0208О1,"360,00",ЧАС,1-0208О1
1-0208,ЧАС О1360-О2720-ТР2880-КР8640,Техническое обслуживание 2,О2,1-0208О2,"720,00",ЧАС,1-0208О2
1-0208,ЧАС О1360-О2720-ТР2880-КР8640,Текущий ремонт,ТР,1-0208ТР,"2880,00",ЧАС,1-0208ТР
1-0208,ЧАС О1360-О2720-ТР2880-КР8640,Капитальный ремонт,КР,1-0208КР,"8640,00",ЧАС,1-0208КР
1-0209,ЧАС О1360-О2720-ТР5760-КР34560,Техническое обслуживание 1,О1,1-0209О1,"360,00",ЧАС,1-0209О1
1-0209,ЧАС О1360-О2720-ТР5760-КР34560,Техническое обслуживание 2,О2,1-0209О2,"720,00",ЧАС,1-0209О2
1-0209,ЧАС О1360-О2720-ТР5760-КР34560,Текущий ремонт,ТР,1-0209ТР,"5760,00",ЧАС,1-0209ТР
1-0209,ЧАС О1360-О2720-ТР5760-КР34560,Капитальный ремонт,КР,1-0209КР,"34560,00",ЧАС,1-0209КР
1-0210,ЧАС О1360-О2720-ТР5760-КР43200,Техническое обслуживание 1,О1,1-0210О1,"360,00",ЧАС,1-0210О1
1-0210,ЧАС О1360-О2720-ТР5760-КР43200,Техническое обслуживание 2,О2,1-0210О2,"720,00",ЧАС,1-0210О2
1-0210,ЧАС О1360-О2720-ТР5760-КР43200,Текущий ремонт,ТР,1-0210ТР,"5760,00",ЧАС,1-0210ТР
1-0210,ЧАС О1360-О2720-ТР5760-КР43200,Капитальный ремонт,КР,1-0210КР,"43200,00",ЧАС,1-0210КР
1-0211,ЧАС 278640,КР навесного оборудования,27,1-021127,"8640,00",ЧАС,1-021127
1-0212,ЧАС Т14320-Т28760-КР25920,Текущий ремонт 1,Т1,1-0212Т1,"4320,00",ЧАС,1-0212Т1
1-0212,ЧАС Т14320-Т28760-КР25920,Текущий ремонт 2,Т2,1-0212Т2,"8760,00",ЧАС,1-0212Т2
1-0212,ЧАС Т14320-Т28760-КР25920,Капитальный ремонт,КР,1-0212КР,"25920,00",ЧАС,1-0212КР
1-0213,ЧАС ЗУ8640,Замена футеровка,ЗУ,1-0213ЗУ,"8640,00",ЧАС,1-0213ЗУ
1-0214,ЧАС ЗУ4320,Замена футеровка,ЗУ,1-0214ЗУ,"4320,00",ЧАС,1-0214ЗУ
1-0215,ЧАС ТО720-ТР2280,Техническое обслуживание,ТО,1-0215ТО,"720,00",ЧАС,1-0215ТО
1-0215,ЧАС ТО720-ТР2280,Текущий ремонт,ТР,1-0215ТР,"2280,00",ЧАС,1-0215ТР
1-0216,ЧАС ТР720-ТО8640,Текущий ремонт,ТР,1-0216ТР,"720,00",ЧАС,1-0216ТР
1-0216,ЧАС ТР720-ТО8640,Техническое обслуживание,ТО,1-0216ТО,"8640,00",ЧАС,1-0216ТО
1-0217,ЧАС ТО1440-ТР7920,Техническое обслуживание,ТО,1-0217ТО,"1440,00",ЧАС,1-0217ТО
1-0217,ЧАС ТО1440-ТР7920,Текущий ремонт,ТР,1-0217ТР,"7920,00",ЧАС,1-0217ТР
1-0218,ЧАС О1240-ТР2160-КР8640,Техническое обслуживание 1,О1,1-0218О1,"240,00",ЧАС,1-0218О1
1-0218,ЧАС О1240-ТР2160-КР8640,Текущий ремонт,ТР,1-0218ТР,"2160,00",ЧАС,1-0218ТР
1-0218,ЧАС О1240-ТР2160-КР8640,Капитальный ремонт,КР,1-0218КР,"8640,00",ЧАС,1-0218КР
1-0219,ЧАС ТО240-Т12880-Т28640,Техническое обслуживание,ТО,1-0219ТО,"240,00",ЧАС,1-0219ТО
1-0219,ЧАС ТО240-Т12880-Т28640,Текущий ремонт 1,Т1,1-0219Т1,"2880,00",ЧАС,1-0219Т1
1-0219,ЧАС ТО240-Т12880-Т28640,Текущий ремонт 2,Т2,1-0219Т2,"8640,00",ЧАС,1-0219Т2
1-0220,ЧАС ТО720-Т14320-8640-КР17280,Техническое обслуживание,ТО,1-0220ТО,"720,00",ЧАС,1-0220ТО
1-0220,ЧАС ТО720-Т14320-8640-КР17280,Текущий ремонт 1,Т1,1-0220Т1,"4320,00",ЧАС,1-0220Т1
1-0220,ЧАС ТО720-Т14320-8640-КР17280,Текущий ремонт 2,Т2,1-0220Т2,"8640,00",ЧАС,1-0220Т2
1-0220,ЧАС ТО720-Т14320-8640-КР17280,Капитальный ремонт,КР,1-0220КР,"17280,00",ЧАС,1-0220КР
1-0221,ЧАС ТО720-ТР5400,Техническое обслуживание,ТО,1-0221ТО,"720,00",ЧАС,1-0221ТО
1-0221,ЧАС ТО720-ТР5400,Текущий ремонт,ТР,1-0221ТР,"5400,00",ЧАС,1-0221ТР
1-0222,ЧАС ТО4320-ТР8640-КР86400,Техническое обслуживание,ТО,1-0222ТО,"4320,00",ЧАС,1-0222ТО
1-0222,ЧАС ТО4320-ТР8640-КР86400,Текущий ремонт,ТР,1-0222ТР,"8640,00",ЧАС,1-0222ТР
1-0222,ЧАС ТО4320-ТР8640-КР86400,Капитальный ремонт,КР,1-0222КР,"86400,00",ЧАС,1-0222КР
1-0223,ЧАС ТР4320-КР35040,Текущий ремонт,ТР,1-0223ТР,"4320,00",ЧАС,1-0223ТР
1-0223,ЧАС ТР4320-КР35040,Капитальный ремонт,КР,1-0223КР,"35040,00",ЧАС,1-0223КР
1-0224,ЧАС ТО4320-ТР17280-КР43200,Техническое обслуживание,ТО,1-0224ТО,"4320,00",ЧАС,1-0224ТО
1-0224,ЧАС ТО4320-ТР17280-КР43200,Текущий ремонт,ТР,1-0224ТР,"17280,00",ЧАС,1-0224ТР
1-0224,ЧАС ТО4320-ТР17280-КР43200,Капитальный ремонт,КР,1-0224КР,"43200,00",ЧАС,1-0224КР
1-0225,ЧАС О12160-4320-ТР8640-КР86400,Техническое обслуживание 1,О1,1-0225О1,"2160,00",ЧАС,1-0225О1
1-0225,ЧАС О12160-4320-ТР8640-КР86400,Техническое обслуживание 2,О2,1-0225О2,"4320,00",ЧАС,1-0225О2
1-0225,ЧАС О12160-4320-ТР8640-КР86400,Текущий ремонт,ТР,1-0225ТР,"8640,00",ЧАС,1-0225ТР
1-0225,ЧАС О12160-4320-ТР8640-КР86400,Капитальный ремонт,КР,1-0225КР,"86400,00",ЧАС,1-0225КР
1-0226,ЧАС ТО8640-ТР17280-КР51840,Техническое обслуживание,ТО,1-0226ТО,"8640,00",ЧАС,1-0226ТО
1-0226,ЧАС ТО8640-ТР17280-КР51840,Текущий ремонт,ТР,1-0226ТР,"17280,00",ЧАС,1-0226ТР
1-0226,ЧАС ТО8640-ТР17280-КР51840,Капитальный ремонт,КР,1-0226КР,"51840,00",ЧАС,1-0226КР
1-0227,ЧАС 4392-8760-ТР17280-КР34560,Техническое обслуживание 1,О1,1-0227О1,"4392,00",ЧАС,1-0227О1
1-0227,ЧАС 4392-8760-ТР17280-КР34560,Техническое обслуживание 2,О2,1-0227О2,"8760,00",ЧАС,1-0227О2
1-0227,ЧАС 4392-8760-ТР17280-КР34560,Текущий ремонт,ТР,1-0227ТР,"17280,00",ЧАС,1-0227ТР
1-0227,ЧАС 4392-8760-ТР17280-КР34560,Капитальный ремонт,КР,1-0227КР,"34560,00",ЧАС,1-0227КР
1-0228,ЧАС ТО4320-ТР8640-КР43200,Техническое обслуживание,ТО,1-0228ТО,"4320,00",ЧАС,1-0228ТО
1-0228,ЧАС ТО4320-ТР8640-КР43200,Текущий ремонт,ТР,1-0228ТР,"8640,00",ЧАС,1-0228ТР
1-0228,ЧАС ТО4320-ТР8640-КР43200,Капитальный ремонт,КР,1-0228КР,"43200,00",ЧАС,1-0228КР
1-0229,ЧАС ТО4392-ТР17520-КР52560,Техническое обслуживание,ТО,1-0229ТО,"4392,00",ЧАС,1-0229ТО
1-0229,ЧАС ТО4392-ТР17520-КР52560,Текущий ремонт,ТР,1-0229ТР,"17520,00",ЧАС,1-0229ТР
1-0229,ЧАС ТО4392-ТР17520-КР52560,Капитальный ремонт,КР,1-0229КР,"52560,00",ЧАС,1-0229КР
1-0230,ЧАС О1360-О2720-ТР1440-КР8640,Техническое обслуживание 1,О1,1-0230О1,"360,00",ЧАС,1-0230О1
1-0230,ЧАС О1360-О2720-ТР1440-КР8640,Техническое обслуживание 2,О2,1-0230О2,"720,00",ЧАС,1-0230О2
1-0230,ЧАС О1360-О2720-ТР1440-КР8640,Текущий ремонт,ТР,1-0230ТР,"1440,00",ЧАС,1-0230ТР
1-0230,ЧАС О1360-О2720-ТР1440-КР8640,Капитальный ремонт,КР,1-0230КР,"8640,00",ЧАС,1-0230КР
1-0231,ЧАС ТО720-ТР8640-КР25920,Техническое обслуживание,ТО,1-0231ТО,"720,00",ЧАС,1-0231ТО
1-0231,ЧАС ТО720-ТР8640-КР25920,Текущий ремонт,ТР,1-0231ТР,"8640,00",ЧАС,1-0231ТР
1-0231,ЧАС ТО720-ТР8640-КР25920,Капитальный ремонт,КР,1-0231КР,"25920,00",ЧАС,1-0231КР
1-0232,ЧАС О18760-О217496-О334992,Техническое обслуживание 1,О1,1-0232О1,"8760,00",ЧАС,1-0232О1
1-0232,ЧАС О18760-О217496-О334992,Техническое обслуживание 2,О2,1-0232О2,"17496,00",ЧАС,1-0232О2
1-0232,ЧАС О18760-О217496-О334992,Техническое обслуживание 3,О3,1-0232О3,"34992,00",ЧАС,1-0232О3
1-0233,ЧАС ТО8760-ТР17520-КР34992,Техническое обслуживание,ТО,1-0233ТО,"8760,00",ЧАС,1-0233ТО
1-0233,ЧАС ТО8760-ТР17520-КР34992,Текущий ремонт,ТР,1-0233ТР,"17520,00",ЧАС,1-0233ТР
1-0233,ЧАС ТО8760-ТР17520-КР34992,Капитальный ремонт,КР,1-0233КР,"34992,00",ЧАС,1-0233КР
1-0234,ЧАС ТР8640-КР34560,Текущий ремонт,ТР,1-0234ТР,"8640,00",ЧАС,1-0234ТР
1-0234,ЧАС ТР8640-КР34560,Капитальный ремонт,КР,1-0234КР,"34560,00",ЧАС,1-0234КР
1-0235,ЧАС ТО720-ТР17280-КР51840,Техническое обслуживание,ТО,1-0235ТО,"720,00",ЧАС,1-0235ТО
1-0235,ЧАС ТО720-ТР17280-КР51840,Текущий ремонт,ТР,1-0235ТР,"17280,00",ЧАС,1-0235ТР
1-0235,ЧАС ТО720-ТР17280-КР51840,Капитальный ремонт,КР,1-0235КР,"51840,00",ЧАС,1-0235КР
1-0236,ЧАС 338640,КР футеровка,33,1-023633,"8640,00",ЧАС,1-023633
1-0237,ЧАС 334320,КР футеровка,33,1-023733,"4320,00",ЧАС,1-023733
1-0238,ЧАС ТО1-4368-СО-8736-ТО2-17472,Техническое обслуживание 1,1,1-02381,"4368,00",ЧАС,1-02381
1-0238,ЧАС ТО1-4368-СО-8736-ТО2-17472,Сезонное обслуживание,СО,1-0238СО,"8736,00",ЧАС,1-0238СО
1-0238,ЧАС ТО1-4368-СО-8736-ТО2-17472,Техническое обслуживание 2,2,1-02382,"17472,00",ЧАС,1-02382
1-0239,ЧАС ЕО-24-ТО-240,Ежедневный осмотр,ЕО,1-0239ЕО,"24,00",ЧАС,1-0239ЕО
1-0239,ЧАС ЕО-24-ТО-240,Техническое обслуживаие,ТО,1-0239ТО,"240,00",ЧАС,1-0239ТО
1-0241,ЧАС/ТО720/О22880/ТР5760/КР8640,Техническое обслуживание,ТО,1-0241ТО,"720,00",ЧАС,1-0241ТО
1-0241,ЧАС/ТО720/О22880/ТР5760/КР8640,Техническое обслуживание,О2,1-0241О2,"2880,00",ЧАС,1-0241О2
1-0241,ЧАС/ТО720/О22880/ТР5760/КР8640,Текущий ремонт,ТР,1-0241ТР,"5760,00",ЧАС,1-0241ТР
1-0241,ЧАС/ТО720/О22880/ТР5760/КР8640,Капитальный ремонт,КР,1-0241КР,"8640,00",ЧАС,1-0241КР
1-0243,ЧАС О1360-О2720-Т16480-Т2-К,Техническое обслуживание 1,О1,1-0243О1,"360,00",ЧАС,1-0243О1
1-0243,ЧАС О1360-О2720-Т16480-Т2-К,Техническое обслуживание 2,О2,1-0243О2,"720,00",ЧАС,1-0243О2
1-0243,ЧАС О1360-О2720-Т16480-Т2-К,Текущий ремонт 1,Т1,1-0243Т1,"6480,00",ЧАС,1-0243Т1
1-0243,ЧАС О1360-О2720-Т16480-Т2-К,Текущий ремонт 2,Т2,1-0243Т2,"12960,00",ЧАС,1-0243Т2
1-0243,ЧАС О1360-О2720-Т16480-Т2-К,Капитальный ремонт,КР,1-0243КР,"51840,00",ЧАС,1-0243КР
1-0244,ЧАС О1360-О2720-Т15760-Т2-К,Техническое обслуживание 1,О1,1-0244О1,"360,00",ЧАС,1-0244О1
1-0244,ЧАС О1360-О2720-Т15760-Т2-К,Техническое обслуживание 2,О2,1-0244О2,"720,00",ЧАС,1-0244О2
1-0244,ЧАС О1360-О2720-Т15760-Т2-К,Текущий ремонт 1,Т1,1-0244Т1,"5760,00",ЧАС,1-0244Т1
1-0244,ЧАС О1360-О2720-Т15760-Т2-К,Текущий ремонт 2,Т2,1-0244Т2,"11520,00",ЧАС,1-0244Т2
1-0244,ЧАС О1360-О2720-Т15760-Т2-К,Капитальный ремонт,КР,1-0244КР,"46080,00",ЧАС,1-0244КР
1-0245,ЧАС О1360-О2720-ТР6480-КР38880,Техническое обслуживание 1,О1,1-0245О1,"360,00",ЧАС,1-0245О1
1-0245,ЧАС О1360-О2720-ТР6480-КР38880,Техническое обслуживание 2,О2,1-0245О2,"720,00",ЧАС,1-0245О2
1-0245,ЧАС О1360-О2720-ТР6480-КР38880,Текущий ремонт,ТР,1-0245ТР,"6480,00",ЧАС,1-0245ТР
1-0245,ЧАС О1360-О2720-ТР6480-КР38880,Капитальный ремонт,КР,1-0245КР,"38880,00",ЧАС,1-0245КР
1-0246,ЧАС О1360-О2720-Т11520-КР46080,Техническое обслуживание 1,О1,1-0246О1,"360,00",ЧАС,1-0246О1
1-0246,ЧАС О1360-О2720-Т11520-КР46080,Техническое обслуживание 2,О2,1-0246О2,"720,00",ЧАС,1-0246О2
1-0246,ЧАС О1360-О2720-Т11520-КР46080,Текущий ремонт,ТР,1-0246ТР,"11520,00",ЧАС,1-0246ТР
1-0246,ЧАС О1360-О2720-Т11520-КР46080,Капитальный ремонт,КР,1-0246КР,"46080,00",ЧАС,1-0246КР
1-0247,ЧАС О1360-О2720-ТР5760-КР46080,Техническое обслуживание 1,О1,1-0247О1,"360,00",ЧАС,1-0247О1
1-0247,ЧАС О1360-О2720-ТР5760-КР46080,Техническое обслуживание 2,О2,1-0247О2,"720,00",ЧАС,1-0247О2
1-0247,ЧАС О1360-О2720-ТР5760-КР46080,Текущий ремонт,ТР,1-0247ТР,"5760,00",ЧАС,1-0247ТР
1-0247,ЧАС О1360-О2720-ТР5760-КР46080,Капитальный ремонт,КР,1-0247КР,"46080,00",ЧАС,1-0247КР
1-0248,ЧАС О136-О2720-КР12960,Техническое обслуживание 1,О1,1-0248О1,"360,00",ЧАС,1-0248О1
1-0248,ЧАС О136-О2720-КР12960,Техническое обслуживание 2,О2,1-0248О2,"720,00",ЧАС,1-0248О2
1-0248,ЧАС О136-О2720-КР12960,Капитальный ремонт,КР,1-0248КР,"12960,00",ЧАС,1-0248КР
1-0249,ЧАС ТО-360/КР-5760,Техническое обслуживание 1,ТО,1-0249ТО,"360,00",ЧАС,1-0249ТО
1-0249,ЧАС ТО-360/КР-5760,Капитальный ремонт,КР,1-0249КР,"5760,00",ЧАС,1-0249КР
1-0250,ЧАС ТР4320-КР34560,Текущий ремонт,ТР,1-0250ТР,"4320,00",Ч,1-0250ТР
1-0250,ЧАС ТР4320-КР34560,Капитальный ремонт,КР,1-0250КР,"34560,00",Ч,1-0250КР
1-0251,МСЦ ТО1-ТР6-КР12,Техническое обслуживание,ТО,1-0251ТО,"1,00",МСЦ,1-0251ТО
1-0251,МСЦ ТО1-ТР6-КР12,Текущий ремонт,ТР,1-0251ТР,"6,00",МСЦ,1-0251ТР
1-0251,МСЦ ТО1-ТР6-КР12,Капитальный ремонт,КР,1-0251КР,"12,00",МСЦ,1-0251КР
1-0252,ЧАС ТР60480-КР86400,Текущий ремонт,ТР,1-0252ТР,"60480,00",ЧАС,1-0252ТР
1-0252,ЧАС ТР60480-КР86400,Капитальный ремонт,КР,1-0252КР,"86400,00",ЧАС,1-0252КР
1-0253,ЧАС ТО240-ТР8640-КР51840,Техническое обслуживание,ТО,1-0253ТО,"240,00",ЧАС,1-0253ТО
1-0253,ЧАС ТО240-ТР8640-КР51840,Текущий ремонт,ТР,1-0253ТР,"8640,00",ЧАС,1-0253ТР
1-0253,ЧАС ТО240-ТР8640-КР51840,Капитальный ремонт,КР,1-0253КР,"51840,00",ЧАС,1-0253КР
1-0254,ЧАС ТО720-ТР8640-КР216000,Техническое обслуживание,ТО,1-0254ТО,"720,00",ЧАС,1-0254ТО
1-0254,ЧАС ТО720-ТР8640-КР216000,Текущий ремонт,ТР,1-0254ТР,"8640,00",ЧАС,1-0254ТР
1-0254,ЧАС ТО720-ТР8640-КР216000,Капитальный ремонт,КР,1-0254КР,"216000,00",ЧАС,1-0254КР
1-0255,ЧАС ТО720-ТР4320-КР103680,Техническое обслуживание,ТО,1-0255ТО,"720,00",ЧАС,1-0255ТО
1-0255,ЧАС ТО720-ТР4320-КР103680,Текущий ремонт,ТР,1-0255ТР,"4320,00",ЧАС,1-0255ТР
1-0255,ЧАС ТО720-ТР4320-КР103680,Капитальный ремонт,КР,1-0255КР,"103680,00",ЧАС,1-0255КР
1-0256,ЧАС ТО2160-ТР4320-КР34560,Техническое обслуживание,ТО,1-0256ТО,"2160,00",ЧАС,1-0256ТО
1-0256,ЧАС ТО2160-ТР4320-КР34560,Текущий ремонт,ТР,1-0256ТР,"4320,00",ЧАС,1-0256ТР
1-0256,ЧАС ТО2160-ТР4320-КР34560,Капитальный ремонт,КР,1-0256КР,"34560,00",ЧАС,1-0256КР
1-0257,ЧАС ТО2160-ТР4320-КР43200,Техническое обслуживание,ТО,1-0257ТО,"2160,00",ЧАС,1-0257ТО
1-0257,ЧАС ТО2160-ТР4320-КР43200,Текущий ремонт,ТР,1-0257ТР,"4320,00",ЧАС,1-0257ТР
1-0257,ЧАС ТО2160-ТР4320-КР43200,Капитальный ремонт,КР,1-0257КР,"43200,00",ЧАС,1-0257КР
1-0258,ЧАС ТО4320-ТР17280,Техническое обслуживание,ТО,1-0258ТО,"4320,00",ЧАС,1-0258ТО
1-0258,ЧАС ТО4320-ТР17280,Текущий ремонт,ТР,1-0258ТР,"17280,00",ЧАС,1-0258ТР
1-0259,ЧАС ТО8640-ТР21600-КР43200,Техническое обслуживание,ТО,1-0259ТО,"8640,00",ЧАС,1-0259ТО
1-0259,ЧАС ТО8640-ТР21600-КР43200,Текущий ремонт,ТР,1-0259ТР,"21600,00",ЧАС,1-0259ТР
1-0259,ЧАС ТО8640-ТР21600-КР43200,Капитальный ремонт,КР,1-0259КР,"43200,00",ЧАС,1-0259КР
1-0260,ЧАС ТО4320-ТР8640-КР17280,Техническое обслуживание,ТО,1-0260ТО,"4320,00",ЧАС,1-0260ТО
1-0260,ЧАС ТО4320-ТР8640-КР17280,Текущий ремонт,ТР,1-0260ТР,"8640,00",ЧАС,1-0260ТР
1-0260,ЧАС ТО4320-ТР8640-КР17280,Капитальный ремонт,КР,1-0260КР,"17280,00",ЧАС,1-0260КР
1-0261,ЧАС ТО8640-ТР17280-КР34560,Техническое обслуживание,ТО,1-0261ТО,"8640,00",ЧАС,1-0261ТО
1-0261,ЧАС ТО8640-ТР17280-КР34560,Текущий ремонт,ТР,1-0261ТР,"17280,00",ЧАС,1-0261ТР
1-0261,ЧАС ТО8640-ТР17280-КР34560,Капитальный ремонт,КР,1-0261КР,"34560,00",ЧАС,1-0261КР
1-0262,ЧАС ТР8640-КР138240,Текущий ремонт,ТР,1-0262ТР,"8640,00",ЧАС,1-0262ТР
1-0262,ЧАС ТР8640-КР138240,Капитальный ремонт,КР,1-0262КР,"138240,00",ЧАС,1-0262КР
1-0263,ЧАС ТО168-ТО1720,Техническое обслуживание,ТО,1-0263ТО,"168,00",ЧАС,1-0263ТО
1-0263,ЧАС ТО168-ТО1720,Техническое обслуживание 1,О1,1-0263О1,"720,00",ЧАС,1-0263О1
1-0264,ЧАС ТО4380-ТР8760-КР17280,Техническое обслуживание,ТО,1-0264ТО,"4368,00",ЧАС,1-0264ТО
1-0264,ЧАС ТО4380-ТР8760-КР17280,Текущий ремонт,ТР,1-0264ТР,"8760,00",ЧАС,1-0264ТР
1-0264,ЧАС ТО4380-ТР8760-КР17280,Капитальный ремонт,КР,1-0264КР,"17280,00",ЧАС,1-0264КР
1-0265,ЧАС ТО12160-ТО24320-ТО38640,Техническое обслуживание 1,О1,1-0265О1,"2160,00",ЧАС,1-0265О1
1-0265,ЧАС ТО12160-ТО24320-ТО38640,Техническое обслуживание 2,О2,1-0265О2,"4320,00",ЧАС,1-0265О2
1-0265,ЧАС ТО12160-ТО24320-ТО38640,Техническое обслуживание 3,О3,1-0265О3,"8640,00",ЧАС,1-0265О3
1-0266,ЧАС ТО2160-ТР4320-КР35040,Техническое обслуживание,ТО,1-0266ТО,"2160,00",ЧАС,1-0266ТО
1-0266,ЧАС ТО2160-ТР4320-КР35040,Текущий ремонт,ТР,1-0266ТР,"4320,00",ЧАС,1-0266ТР
1-0266,ЧАС ТО2160-ТР4320-КР35040,Капитальный ремонт,КР,1-0266КР,"35040,00",ЧАС,1-0266КР
1-0267,ЧАС ТО1008-ТР7992-КР16008,Техническое обслуживание,ТО,1-0267ТО,"1008,00",ЧАС,1-0267ТО
1-0267,ЧАС ТО1008-ТР7992-КР16008,Текущий ремонт,ТР,1-0267ТР,"7992,00",ЧАС,1-0267ТР
1-0267,ЧАС ТО1008-ТР7992-КР16008,Капитальный ремонт,КР,1-0267КР,"16008,00",ЧАС,1-0267КР
1-0268,ЧАС ОБХ168,"Обходы, осмотры",ОО,1-0268ОО,"168,00",ЧАС,1-0268ОО
1-0269,ЧАС ОБХ12,"Обходы, осмотры",ОО,1-0269ОО,"24,00",ЧАС,1-0269ОО
1-0270,ЧАС ОБХ24,"Обходы, осмотры",ОО,1-0270ОО,"24,00",ЧАС,1-0270ОО
1-0271,ЧАС ТО720-ТР2880,Техническое обслуживание,ТО,1-0271ТО,"720,00",ЧАС,1-0271ТО
1-0271,ЧАС ТО720-ТР2880,Текущий ремонт,ТР,1-0271ТР,"2880,00",ЧАС,1-0271ТР
1-0272,ЧАС ТО1440-ТР2880,Техническое обслуживание,ТО,1-0272ТО,"1440,00",ЧАС,1-0272ТО
1-0272,ЧАС ТО1440-ТР2880,Текущий ремонт,ТР,1-0272ТР,"2880,00",ЧАС,1-0272ТР
1-0273,ЧАС ТО2880-ТР4320,Техническое обслуживание,ТО,1-0273ТО,"2880,00",ЧАС,1-0273ТО
1-0273,ЧАС ТО2880-ТР4320,Текущий ремонт,ТР,1-0273ТР,"4320,00",ЧАС,1-0273ТР
1-0274,ЧАС ТО2880-ТР6480,Техническое обслуживание,ТО,1-0274ТО,"2880,00",ЧАС,1-0274ТО
1-0274,ЧАС ТО2880-ТР6480,Текущий ремонт,ТР,1-0274ТР,"6480,00",ЧАС,1-0274ТР
1-0275,ЧАС ТО25920,Техническое обслуживание,ТО,1-0275ТО,"25920,00",ЧАС,1-0275ТО
